W,H,w1,h1,w2,h2
500,375,36.0,96.0,230.0,374.0
500,375,368.0,202.0,436.0,374.0
500,375,119.0,219.0,228.0,374.0
500,333,484.0,173.0,499.0,279.0
500,333,442.0,162.0,478.0,282.0
500,333,418.0,152.0,438.0,239.0
500,333,439.0,155.0,449.0,229.0
500,333,411.0,162.0,429.0,247.0
500,333,406.0,193.0,421.0,250.0
500,333,372.0,156.0,400.0,265.0
500,333,329.0,168.0,379.0,251.0
500,333,0.0,152.0,19.0,304.0
500,333,0.0,109.0,32.0,243.0
500,333,29.0,141.0,76.0,204.0
500,333,66.0,20.0,381.0,277.0
500,333,48.0,98.0,336.0,230.0
500,375,329.0,10.0,453.0,367.0
500,375,54.0,92.0,166.0,370.0
500,348,426.0,124.0,499.0,180.0
500,348,43.0,119.0,458.0,221.0
500,388,179.0,31.0,338.0,358.0
500,375,487.0,275.0,499.0,319.0
500,375,474.0,250.0,485.0,272.0
500,375,278.0,224.0,477.0,339.0
500,375,244.0,229.0,315.0,279.0
500,375,0.0,240.0,86.0,374.0
500,375,132.0,243.0,183.0,366.0
500,375,120.0,272.0,212.0,366.0
500,377,14.0,38.0,499.0,279.0
500,377,464.0,70.0,499.0,164.0
500,377,444.0,67.0,499.0,92.0
500,377,0.0,62.0,92.0,112.0
500,377,1.0,80.0,84.0,130.0
500,377,0.0,110.0,50.0,195.0
375,500,81.0,95.0,241.0,237.0
333,500,15.0,231.0,295.0,499.0
333,500,56.0,78.0,322.0,473.0
500,176,88.0,31.0,143.0,71.0
500,176,113.0,35.0,181.0,85.0
500,176,236.0,45.0,301.0,86.0
500,176,302.0,41.0,379.0,86.0
500,375,1.0,2.0,499.0,374.0
500,375,0.0,228.0,39.0,374.0
500,375,350.0,99.0,432.0,189.0
500,375,223.0,123.0,307.0,268.0
500,375,143.0,152.0,242.0,320.0
500,375,162.0,113.0,224.0,166.0
500,375,215.0,106.0,275.0,153.0
500,375,32.0,135.0,395.0,316.0
500,375,46.0,41.0,432.0,353.0
500,335,2.0,1.0,499.0,333.0
500,354,117.0,150.0,406.0,220.0
500,331,321.0,78.0,435.0,166.0
500,331,200.0,80.0,300.0,142.0
375,500,304.0,7.0,336.0,26.0
375,500,271.0,9.0,303.0,25.0
375,500,227.0,0.0,272.0,28.0
375,500,0.0,77.0,371.0,499.0
333,500,43.0,166.0,248.0,457.0
500,332,12.0,1.0,468.0,331.0
500,375,276.0,2.0,499.0,374.0
500,375,11.0,2.0,304.0,374.0
500,375,99.0,62.0,499.0,199.0
500,332,57.0,146.0,256.0,264.0
500,332,0.0,108.0,49.0,228.0
500,332,304.0,97.0,439.0,235.0
500,332,280.0,132.0,315.0,203.0
500,332,115.0,61.0,173.0,225.0
500,332,169.0,82.0,208.0,147.0
500,332,361.0,69.0,413.0,203.0
500,332,280.0,93.0,326.0,179.0
500,333,290.0,210.0,317.0,232.0
500,333,218.0,219.0,240.0,236.0
500,333,258.0,211.0,273.0,223.0
375,500,170.0,233.0,372.0,481.0
375,500,60.0,221.0,137.0,425.0
375,500,0.0,365.0,49.0,499.0
375,500,148.0,253.0,357.0,466.0
500,333,53.0,49.0,284.0,261.0
500,302,36.0,109.0,272.0,177.0
500,430,3.0,6.0,471.0,425.0
500,375,75.0,152.0,159.0,275.0
500,375,218.0,175.0,428.0,373.0
500,375,28.0,28.0,67.0,110.0
500,375,118.0,3.0,161.0,52.0
500,375,112.0,27.0,166.0,130.0
500,375,241.0,16.0,287.0,102.0
500,375,67.0,91.0,164.0,254.0
500,375,234.0,29.0,402.0,361.0
500,375,175.0,74.0,230.0,131.0
500,375,232.0,87.0,258.0,156.0
500,333,196.0,90.0,215.0,115.0
500,333,81.0,72.0,383.0,202.0
500,375,333.0,130.0,446.0,362.0
500,375,71.0,37.0,185.0,254.0
500,375,24.0,73.0,488.0,322.0
375,500,88.0,1.0,306.0,440.0
466,357,76.0,1.0,410.0,347.0
500,375,158.0,130.0,412.0,361.0
500,375,320.0,125.0,478.0,362.0
500,375,283.0,75.0,359.0,143.0
500,375,99.0,90.0,205.0,297.0
500,375,166.0,160.0,325.0,374.0
500,375,1.0,1.0,88.0,130.0
500,375,32.0,67.0,148.0,246.0
500,375,130.0,67.0,209.0,248.0
500,375,197.0,58.0,308.0,283.0
500,375,293.0,82.0,499.0,374.0
500,375,11.0,99.0,499.0,374.0
500,375,152.0,115.0,355.0,374.0
500,333,21.0,35.0,426.0,292.0
432,500,262.0,265.0,387.0,478.0
432,500,24.0,12.0,287.0,480.0
432,500,38.0,83.0,419.0,425.0
500,333,58.0,14.0,219.0,238.0
500,333,160.0,121.0,499.0,332.0
500,375,226.0,123.0,270.0,264.0
500,375,330.0,121.0,389.0,353.0
500,375,393.0,182.0,421.0,339.0
500,375,284.0,124.0,325.0,339.0
500,375,429.0,183.0,499.0,228.0
500,375,1.0,254.0,499.0,374.0
500,375,173.0,65.0,294.0,264.0
500,374,93.0,103.0,252.0,255.0
500,374,243.0,121.0,419.0,256.0
500,334,268.0,18.0,359.0,295.0
500,334,353.0,113.0,419.0,155.0
500,334,77.0,21.0,252.0,303.0
333,500,18.0,342.0,318.0,452.0
500,375,47.0,84.0,498.0,373.0
500,375,124.0,1.0,315.0,343.0
500,375,43.0,3.0,127.0,166.0
500,375,314.0,30.0,351.0,111.0
500,375,294.0,34.0,319.0,114.0
500,375,216.0,39.0,247.0,83.0
500,375,20.0,42.0,50.0,126.0
500,375,470.0,35.0,496.0,125.0
500,375,446.0,35.0,471.0,116.0
500,375,360.0,40.0,373.0,102.0
500,375,45.0,15.0,442.0,340.0
500,333,2.0,3.0,498.0,330.0
375,500,5.0,183.0,374.0,499.0
375,500,78.0,156.0,143.0,265.0
375,500,0.0,198.0,79.0,352.0
375,500,0.0,381.0,110.0,498.0
375,500,154.0,7.0,173.0,36.0
375,500,2.0,166.0,162.0,499.0
375,500,99.0,264.0,118.0,297.0
500,333,4.0,17.0,481.0,254.0
500,458,56.0,46.0,464.0,457.0
500,375,195.0,188.0,499.0,374.0
500,375,28.0,84.0,252.0,374.0
500,375,0.0,22.0,343.0,306.0
500,375,438.0,24.0,482.0,70.0
500,375,433.0,31.0,453.0,69.0
500,322,103.0,53.0,428.0,263.0
500,375,85.0,169.0,352.0,258.0
375,500,10.0,48.0,331.0,488.0
500,375,156.0,89.0,485.0,371.0
500,333,132.0,88.0,393.0,320.0
500,375,53.0,284.0,113.0,312.0
500,375,108.0,278.0,124.0,318.0
500,375,91.0,290.0,109.0,322.0
500,375,236.0,280.0,248.0,308.0
500,375,279.0,289.0,290.0,307.0
500,375,425.0,291.0,457.0,314.0
480,360,209.0,32.0,327.0,190.0
480,360,64.0,72.0,402.0,309.0
375,500,50.0,113.0,346.0,498.0
240,320,126.0,189.0,157.0,276.0
240,320,198.0,193.0,232.0,274.0
240,320,166.0,195.0,184.0,235.0
240,320,87.0,192.0,118.0,293.0
240,320,19.0,194.0,54.0,296.0
240,320,0.0,197.0,18.0,294.0
240,320,64.0,184.0,89.0,292.0
240,320,52.0,194.0,64.0,229.0
240,320,42.0,195.0,55.0,213.0
240,320,156.0,194.0,167.0,222.0
500,375,329.0,138.0,398.0,247.0
500,375,180.0,170.0,258.0,251.0
500,375,216.0,153.0,344.0,243.0
500,375,173.0,81.0,368.0,374.0
500,375,22.0,38.0,485.0,321.0
500,375,1.0,15.0,40.0,220.0
500,375,60.0,0.0,108.0,61.0
500,375,458.0,1.0,499.0,173.0
500,375,77.0,28.0,474.0,346.0
500,325,64.0,158.0,133.0,215.0
500,325,188.0,196.0,283.0,253.0
500,325,326.0,208.0,400.0,251.0
500,325,410.0,176.0,485.0,226.0
500,334,38.0,23.0,385.0,274.0
500,414,75.0,105.0,375.0,403.0
500,414,203.0,322.0,499.0,411.0
500,414,20.0,179.0,350.0,413.0
500,375,5.0,0.0,499.0,325.0
500,375,31.0,88.0,496.0,359.0
500,375,84.0,315.0,124.0,339.0
500,370,219.0,80.0,468.0,363.0
500,370,195.0,55.0,453.0,356.0
500,332,204.0,107.0,426.0,294.0
500,332,234.0,74.0,299.0,274.0
500,332,239.0,55.0,431.0,331.0
500,333,0.0,167.0,307.0,208.0
500,464,11.0,17.0,106.0,317.0
500,464,175.0,116.0,326.0,267.0
332,500,129.0,166.0,229.0,475.0
332,500,80.0,85.0,243.0,471.0
500,375,122.0,128.0,464.0,374.0
500,375,228.0,56.0,313.0,166.0
500,375,170.0,84.0,220.0,151.0
500,375,87.0,70.0,141.0,111.0
500,375,10.0,123.0,189.0,374.0
500,375,46.0,91.0,224.0,285.0
500,375,4.0,71.0,50.0,181.0
500,375,250.0,64.0,356.0,187.0
500,375,334.0,80.0,421.0,216.0
500,375,344.0,106.0,499.0,337.0
500,375,278.0,225.0,432.0,374.0
375,500,37.0,35.0,324.0,425.0
500,297,0.0,14.0,459.0,296.0
500,334,116.0,24.0,289.0,113.0
500,334,25.0,85.0,499.0,331.0
500,375,258.0,66.0,470.0,371.0
500,333,8.0,99.0,322.0,230.0
500,375,0.0,2.0,464.0,374.0
500,175,195.0,76.0,300.0,164.0
500,175,220.0,46.0,282.0,160.0
500,175,481.0,41.0,499.0,72.0
375,500,70.0,251.0,215.0,313.0
375,500,57.0,201.0,240.0,294.0
333,500,0.0,142.0,216.0,499.0
333,500,5.0,190.0,329.0,499.0
500,375,15.0,27.0,453.0,314.0
500,375,193.0,88.0,414.0,334.0
500,375,159.0,91.0,327.0,311.0
500,375,442.0,129.0,499.0,269.0
500,375,144.0,131.0,172.0,229.0
500,375,52.0,156.0,447.0,358.0
500,375,14.0,60.0,98.0,155.0
500,375,201.0,82.0,257.0,159.0
500,375,331.0,109.0,371.0,152.0
500,375,422.0,147.0,460.0,162.0
500,375,125.0,109.0,357.0,372.0
500,375,207.0,296.0,405.0,374.0
500,375,3.0,154.0,377.0,343.0
500,333,0.0,63.0,29.0,169.0
500,333,29.0,98.0,60.0,145.0
500,333,62.0,131.0,78.0,153.0
500,333,108.0,187.0,120.0,248.0
500,333,99.0,129.0,136.0,236.0
500,333,150.0,130.0,180.0,245.0
500,333,178.0,132.0,192.0,206.0
500,333,192.0,134.0,230.0,286.0
500,333,228.0,137.0,253.0,257.0
500,333,254.0,120.0,297.0,277.0
500,333,278.0,131.0,322.0,288.0
500,333,300.0,129.0,338.0,315.0
500,333,317.0,116.0,361.0,332.0
500,333,331.0,130.0,399.0,331.0
500,333,379.0,124.0,448.0,332.0
500,333,426.0,124.0,499.0,332.0
500,375,292.0,161.0,418.0,374.0
500,375,113.0,164.0,227.0,372.0
500,375,4.0,171.0,115.0,372.0
500,375,1.0,67.0,485.0,324.0
500,334,361.0,128.0,499.0,253.0
500,334,0.0,53.0,312.0,329.0
500,334,32.0,102.0,57.0,136.0
383,480,121.0,93.0,283.0,436.0
383,480,166.0,43.0,254.0,288.0
500,375,75.0,41.0,211.0,213.0
500,375,47.0,37.0,461.0,374.0
375,500,33.0,24.0,336.0,403.0
500,375,223.0,185.0,296.0,229.0
500,334,1.0,1.0,458.0,333.0
500,375,328.0,252.0,449.0,374.0
500,375,337.0,226.0,415.0,337.0
500,375,11.0,286.0,227.0,374.0
500,375,25.0,228.0,347.0,374.0
375,500,0.0,57.0,368.0,457.0
500,375,456.0,216.0,499.0,337.0
500,375,418.0,209.0,481.0,318.0
326,500,5.0,4.0,175.0,202.0
326,500,113.0,255.0,200.0,495.0
500,375,229.0,67.0,373.0,290.0
500,375,139.0,137.0,428.0,321.0
